Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Average Number of Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Average Word Length
40,7,0.7021276446355821,0.09143968853805508,8.711864406779661,0.5214007782101168,3.6933060739959114,8.711864406779661,268,514,2.6712062256809337,0,6.957198443579767
30,6,0.6666666481481487,0.19251336795447396,13.357142857142858,0.5508021390374331,5.563177998472117,13.357142857142858,103,187,2.7914438502673797,0,6.994652406417113
40,15,0.4545454462809919,0.07161458324008518,18.73170731707317,0.5338541666666666,7.706224593495936,18.73170731707317,410,768,2.7890625,0,7.03515625
22,67,-0.5056179718469891,0.23989218264180004,6.183333333333334,0.5013477088948787,2.6738724168912853,6.183333333333334,186,371,2.6172506738544477,1,6.803234501347709
55,22,0.42857142300556594,0.16008315975034687,8.293103448275861,0.37214137214137216,3.466097928166894,8.293103448275861,179,481,2.413721413721414,0,6.5592515592515594
26,41,-0.22388059367342397,0.11375212204795905,19.633333333333333,0.38030560271646857,8.005455574419921,19.633333333333333,224,589,2.3514431239388793,0,6.388794567062818
29,23,0.11538461316568052,0.07807807796084373,15.488372093023257,0.5135135135135135,6.400754242614709,15.488372093023257,342,666,2.695195195195195,0,7.04954954954955
22,75,-0.546391746944415,0.24619289277616016,6.253968253968254,0.5177664974619289,2.708693900572073,6.253968253968254,204,394,2.6446700507614214,1,6.8604060913705585
37,32,0.07246376706574251,0.10550458699464131,17.675675675675677,0.463302752293578,7.255591371187703,17.675675675675677,303,654,2.496941896024465,0,6.68960244648318
23,12,0.3142857053061227,0.09358288745031314,17.80952380952381,0.4411764705882353,7.300280112044819,17.80952380952381,165,374,2.5962566844919786,0,6.96524064171123
36,22,0.24137930618311543,0.09682804658292479,21.392857142857142,0.4691151919866444,8.744788933937516,21.392857142857142,281,599,2.687813021702838,0,7.265442404006678
28,41,-0.18840579437093052,0.09078947356475069,16.52173913043478,0.531578947368421,6.8213272311212805,16.52173913043478,404,760,2.763157894736842,0,7.182894736842106
33,11,0.4999999886363639,0.02392604675153559,11.422360248447205,0.4083741163675911,4.732293745925919,11.422360248447205,751,1839,2.3632408917890158,0,6.199564980967917
34,42,-0.10526315650969531,0.09632446122138852,12.934426229508198,0.5120405576679341,5.378586714870453,12.934426229508198,404,789,2.665399239543726,1,7.044359949302915
27,65,-0.4130434737712666,0.11414392045391573,16.448979591836736,0.5769230769230769,6.8103610675039254,16.448979591836736,465,806,2.8498759305210917,0,7.295285359801489
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
34,34,0.0,0.09659090895370609,6.769230769230769,0.5298295454545454,2.919624125874126,6.769230769230769,373,704,2.7826704545454546,0,7.1647727272727275
52,15,0.5522387977277792,0.08481012647492389,11.791044776119403,0.5240506329113924,4.9260381636123185,11.791044776119403,414,790,2.59746835443038,0,6.924050632911392
30,34,-0.062499999023437516,0.12524461815020624,14.6,0.45596868884540115,6.02238747553816,14.6,233,511,2.5949119373776908,0,6.76908023483366
16,44,-0.46666665888888903,0.06703910607034737,22.94871794871795,0.488268156424581,9.374794442057013,22.94871794871795,437,895,2.646927374301676,0,6.936312849162011
17,40,-0.40350876485072346,0.1261061944112695,14.125,0.4911504424778761,5.846460176991151,14.125,222,452,2.6216814159292037,0,6.929203539823009
35,47,-0.14634146162998218,0.15327102775089527,8.23076923076923,0.514018691588785,3.497915168943206,8.23076923076923,275,535,2.680373831775701,0,6.912149532710281
24,27,-0.05882352825836219,0.10805084722870584,16.275862068965516,0.5211864406779662,6.718819403857393,16.275862068965516,246,472,2.7161016949152543,1,7.055084745762712
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
4,3,0.1428571224489825,0.09459459331628928,14.8,0.4594594594594595,6.1037837837837845,14.8,34,74,2.5675675675675675,0,6.4324324324324325
32,47,-0.18987341531805804,0.14548802919799628,11.3125,0.4548802946593002,4.706952117863721,11.3125,247,543,2.5432780847145486,0,6.6353591160221
7,20,-0.48148146364883465,0.08653846126109467,17.333333333333332,0.4551282051282051,7.115384615384615,17.333333333333332,142,312,2.6025641025641026,1,6.730769230769231
27,54,-0.33333332921810704,0.14673913016895085,12.545454545454545,0.5163043478260869,5.224703557312253,12.545454545454545,285,552,2.7590579710144927,0,7.260869565217392
20,34,-0.25925925445816195,0.1288782813153263,15.518518518518519,0.4821002386634845,6.400247502872801,15.518518518518519,202,419,2.610978520286396,0,6.682577565632458
6,3,0.33333329629630043,0.04109589022330644,24.333333333333332,0.5388127853881278,9.948858447488584,24.333333333333332,118,219,2.6301369863013697,0,7.168949771689498
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
